,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
M4_20151220_scaffold_127_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31E-05,0,0,0,0,0,0,0,0,0,0
M4_20151220_scaffold_243_11,0.011461318,0.000802016,0,0,0.000547807,0,0,0.001974412,0,0.000727658,0,0,0,0.001928083,0,0,0,0,0,0.000139224,0,0,0,0,0,0,0,0
M4_20151220_scaffold_37_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20151222_scaffold_1529_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013400174,0.007995771,0.012868545,0.012549087,0.00194091,0.001093884,0.000556896,0.017385344,0.003394569,0.00012089,0,0,0,0,0
M4_20151222_scaffold_3320_2,0,0,0,0,0,0,0,0,0.000922123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20151222_scaffold_539_9,0.005014327,0.136342805,0,0,0.115671485,0.127422278,0.145483797,0,0.014795876,0,0,0,0,0.000289212,0.019163418,0.004886789,0.008195322,0.008755661,0.011461999,0.009745684,6.23E-05,0.036474973,0.043882979,0.049877584,0.087226454,0.11768617,0.075892136,0.042824577
M4_20160203_scaffold_1088_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013110961,0.014207361,0.009773579,0.01323203,0.002070304,0.000190241,9.28E-05,0.007290628,0.000998403,6.04E-05,0,0,0,0,0
M4_20160203_scaffold_11_41,0,0,0,0,0,0,0,0,0.000880208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_1823_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_3492_5,0.003581662,0.000802016,0,0,0.002401922,0.002369999,0,0,0.035501719,0,0,0,0,0.000192808,6.61E-05,0.000325786,0.000512208,0.003148587,0.00294873,0.004547986,0,0,6.04E-05,0,4.40E-05,4.75E-05,0.000403682,0.000325662
M4_20160203_scaffold_5815_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_59_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_8902_1,0.000477555,0,0,0,0,0.000278823,0,0,0,0,0,0,0,0,0,0,0,8.63E-05,4.76E-05,0,0,0.00013312,0,0.000113876,0.000264189,0.000142477,0.000161473,5.43E-05
M4_20160217_scaffold_536_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_11771_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_1320_10,0.000716332,0,0.005801305,0,0.003371118,0,0,0.001105671,0,0.000727658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_149_29,0,0,0,0,0,0,0,0,0.000377232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69E-05,0,0,0,0
M4_20160406_scaffold_155_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_2944_6,0.000238777,0,0,0,0,0,0,0,0.000251488,0,0,0,0,0,0,0,0,0,0,0.000185632,0,0,0,0,0,0,0,0
M4_20160406_scaffold_4157_5,0,0,0,0,0,0.000139412,0,0,0.000502976,0,0,0,0,0,0,0,0,4.31E-05,9.51E-05,0.000139224,0,0.00013312,0.000181335,5.69E-05,0,4.75E-05,8.07E-05,0.000162831
M4_20160406_scaffold_4788_3,0,0,0.002900653,0,0,0,0,0,0,6.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160608_scaffold_15_12,0,0,0,0,0,0,0,0,0.002640624,0,0,0,0,0,0,0.000162893,0.019805361,0.007332327,0.00290117,0.000417672,0,0,0,0,0,0,0,0
M4_20160608_scaffold_198_16,0,0.009051329,0,0,0,0,0,0,0.000335317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296077,0.000880631,4.75E-05,0.000403682,0
