,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
M4_20160203_scaffold_1088_1,0,0,0,0,0,0,0,0,0,0,0,0,0,136,215,60,155,48,4,2,117,15,1,0,0,0,0,0
M4_20160203_scaffold_11_41,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_1823_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_3492_5,15,7,0,0,57,17,0,0,847,0,0,0,0,2,1,2,6,73,62,98,0,0,1,0,1,1,5,6
M4_20160203_scaffold_5815_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_59_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_8902_1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,2,6,3,2,1
M4_20160217_scaffold_536_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_11771_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_1320_10,3,0,16,0,80,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_149_29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M4_20160406_scaffold_155_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_2944_6,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
M4_20160406_scaffold_4157_5,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,1,2,3,0,2,3,1,0,1,1,3
M4_20160406_scaffold_4788_3,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160608_scaffold_15_12,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,1,232,170,61,9,0,0,0,0,0,0,0,0
M4_20160608_scaffold_198_16,0,79,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,20,1,5,0
M4_20160608_scaffold_287_15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
M5_20151222_scaffold_23_9,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20151222_scaffold_4659_2,0,0,0,0,0,0,0,0,0,0,0,0,0,104,114,59,18,32,14,7,177,34,2,0,0,0,0,0
M5_20160217_scaffold_11071_3,6,0,11,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_1259_16,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
M5_20160217_scaffold_12_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_1927_7,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,4,0,0,0,0,0,0,0,0
M5_20160217_scaffold_555_9,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160217_scaffold_7956_1,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,1,3,7,1,0,1,1,0,1,0,2,0
M5_20160217_scaffold_8365_3,42,1362,0,0,3471,1241,1677,0,524,0,0,0,0,14,161,22,0,289,336,321,0,904,1151,1237,1928,2303,1077,1387
M5_20160217_scaffold_855_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160303_scaffold_416_14,42,2106,0,0,6179,1720,2497,0,717,0,0,0,0,9,143,27,82,506,521,545,2,395,585,708,1164,1563,589,837
M5_20160406_scaffold_1287_9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160406_scaffold_2203_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160406_scaffold_8_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5_20160713_scaffold_30_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_1015_17,65,3,24,0,25,1,0,22,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
U3_Day001_scaffold_11732_3,263,0,31,0,86,0,0,41,2,28,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_13936_3,104,51,0,0,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_14050_1,29,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_18517_1,21,0,0,0,0,0,0,31,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_19959_2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_22210_1,184,0,41,3,48,0,0,4,0,12,0,0,2,0,0,0,0,0,0,0,48,4,0,0,0,0,0,0
U3_Day001_scaffold_22593_4,15,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_22743_1,87,0,18,0,0,0,0,35,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_244_9,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6250_4,28,0,15,0,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6950_7,27,2,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Day001_scaffold_6_8,553,24,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
