,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
M4_20151220_scaffold_127_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01918114,0,0,0,0,0,0,0,0,0,0
M4_20151220_scaffold_243_11,3.548928906,0.222879755,0,0,0.348299928,0,0,0.316263776,0,0.322700478,0,0,0,0.627496508,0,0,0,0,0,0.057411408,0,0,0,0,0,0,0,0
M4_20151220_scaffold_37_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20151222_scaffold_1529_2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.930794071,2.859121922,3.990220939,4.084755905,0.890367791,0.451338093,0.259644386,6.482820071,1.317018213,0.044454239,0,0,0,0,0
M4_20151222_scaffold_3320_2,0,0,0,0,0,0,0,0,0.196833149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20151222_scaffold_539_9,1.812636072,44.2338564,0,0,85.8593592,31.83949142,42.52156174,0,3.437380925,0,0,0,0,0.109884854,7.075543699,1.564608269,2.754447646,4.147319364,4.88321348,4.691713674,0.023992432,14.612236,16.66227595,19.73731024,46.60247403,57.39671044,30.69943425,18.9271719
M4_20160203_scaffold_1088_1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.824374055,5.08025796,3.030547549,4.307055546,0.949725643,0.078493581,0.043274064,2.718601965,0.387358298,0.02222712,0,0,0,0,0
M4_20160203_scaffold_11_41,0,0,0,0,0,0,0,0,0.185507882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_1823_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_3492_5,1.294740052,0.260199155,0,0,1.78287194,0.592200606,0,0,8.247766696,0,0,0,0,0.073256569,0.024398427,0.104307218,0.172152978,1.49140056,1.256262389,2.189466381,0,0,0.022950793,0,0.023524722,0.023162514,0.163294863,0.143932866
M4_20160203_scaffold_5815_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_59_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160203_scaffold_8902_1,0.218328715,0,0,0,0,0.088112893,0,0,0,0,0,0,0,0,0,0,0,0.051676248,0.025625846,0,0,0.067445915,0,0.056990622,0.178511125,0.087881304,0.08260799,0.03033879
M4_20160217_scaffold_536_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_11771_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_1320_10,0.218328715,0,1.422384846,0,2.10976246,0,0,0.174329554,0,0.31763851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_149_29,0,0,0,0,0,0,0,0,0.087232873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022426865,0,0,0,0
M4_20160406_scaffold_155_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4_20160406_scaffold_2944_6,0.079647814,0,0,0,0,0,0,0,0.053912162,0,0,0,0,0,0,0,0,0,0,0.082462166,0,0,0,0,0,0,0,0
